Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Glazing_Area,Heating_Load
0.98,514.5,294.0,110.25,7.0,0.0,15.55
0.98,514.5,294.0,110.25,7.0,0.0,15.55
0.98,514.5,294.0,110.25,7.0,0.0,15.55
0.98,514.5,294.0,110.25,7.0,0.0,15.55
0.9,563.5,318.5,122.5,7.0,0.0,20.84
0.9,563.5,318.5,122.5,7.0,0.0,21.46
0.9,563.5,318.5,122.5,7.0,0.0,20.71
0.9,563.5,318.5,122.5,7.0,0.0,19.68
0.86,588.0,294.0,147.0,7.0,0.0,19.5
0.86,588.0,294.0,147.0,7.0,0.0,19.95
0.86,588.0,294.0,147.0,7.0,0.0,19.34
0.86,588.0,294.0,147.0,7.0,0.0,18.31
0.82,612.5,318.5,147.0,7.0,0.0,17.05
0.82,612.5,318.5,147.0,7.0,0.0,17.41
0.82,612.5,318.5,147.0,7.0,0.0,16.95
0.82,612.5,318.5,147.0,7.0,0.0,15.98
0.79,637.0,343.0,147.0,7.0,0.0,28.52
0.79,637.0,343.0,147.0,7.0,0.0,29.9
0.79,637.0,343.0,147.0,7.0,0.0,29.63
0.79,637.0,343.0,147.0,7.0,0.0,28.75
0.76,661.5,416.5,122.5,7.0,0.0,24.77
0.76,661.5,416.5,122.5,7.0,0.0,23.93
0.76,661.5,416.5,122.5,7.0,0.0,24.77
0.76,661.5,416.5,122.5,7.0,0.0,23.93
0.74,686.0,245.0,220.5,3.5,0.0,6.07
0.74,686.0,245.0,220.5,3.5,0.0,6.05
0.74,686.0,245.0,220.5,3.5,0.0,6.01
0.74,686.0,245.0,220.5,3.5,0.0,6.04
0.71,710.5,269.5,220.5,3.5,0.0,6.37
0.71,710.5,269.5,220.5,3.5,0.0,6.4
0.71,710.5,269.5,220.5,3.5,0.0,6.37
0.71,710.5,269.5,220.5,3.5,0.0,6.4
0.69,735.0,294.0,220.5,3.5,0.0,6.85
0.69,735.0,294.0,220.5,3.5,0.0,6.79
0.69,735.0,294.0,220.5,3.5,0.0,6.77
0.69,735.0,294.0,220.5,3.5,0.0,6.81
0.66,759.5,318.5,220.5,3.5,0.0,7.18
0.66,759.5,318.5,220.5,3.5,0.0,7.1
0.66,759.5,318.5,220.5,3.5,0.0,7.1
0.66,759.5,318.5,220.5,3.5,0.0,7.1
0.64,784.0,343.0,220.5,3.5,0.0,10.85
0.64,784.0,343.0,220.5,3.5,0.0,10.54
0.64,784.0,343.0,220.5,3.5,0.0,10.77
0.64,784.0,343.0,220.5,3.5,0.0,10.56
0.62,808.5,367.5,220.5,3.5,0.0,8.6
0.62,808.5,367.5,220.5,3.5,0.0,8.49
0.62,808.5,367.5,220.5,3.5,0.0,8.45
0.62,808.5,367.5,220.5,3.5,0.0,8.5
0.98,514.5,294.0,110.25,7.0,0.1,24.58
0.98,514.5,294.0,110.25,7.0,0.1,24.63
0.98,514.5,294.0,110.25,7.0,0.1,24.63
0.98,514.5,294.0,110.25,7.0,0.1,24.59
0.9,563.5,318.5,122.5,7.0,0.1,29.03
0.9,563.5,318.5,122.5,7.0,0.1,29.87
0.9,563.5,318.5,122.5,7.0,0.1,29.14
0.9,563.5,318.5,122.5,7.0,0.1,28.09
0.86,588.0,294.0,147.0,7.0,0.1,26.28
0.86,588.0,294.0,147.0,7.0,0.1,26.91
0.86,588.0,294.0,147.0,7.0,0.1,26.37
0.86,588.0,294.0,147.0,7.0,0.1,25.27
0.82,612.5,318.5,147.0,7.0,0.1,23.53
0.82,612.5,318.5,147.0,7.0,0.1,24.03
0.82,612.5,318.5,147.0,7.0,0.1,23.54
0.82,612.5,318.5,147.0,7.0,0.1,22.58
0.79,637.0,343.0,147.0,7.0,0.1,35.56
0.79,637.0,343.0,147.0,7.0,0.1,37.12
0.79,637.0,343.0,147.0,7.0,0.1,36.9
0.79,637.0,343.0,147.0,7.0,0.1,35.94
0.76,661.5,416.5,122.5,7.0,0.1,32.96
0.76,661.5,416.5,122.5,7.0,0.1,32.12
0.76,661.5,416.5,122.5,7.0,0.1,32.94
0.76,661.5,416.5,122.5,7.0,0.1,32.21
0.74,686.0,245.0,220.5,3.5,0.1,10.36
0.74,686.0,245.0,220.5,3.5,0.1,10.43
0.74,686.0,245.0,220.5,3.5,0.1,10.36
0.74,686.0,245.0,220.5,3.5,0.1,10.39
0.71,710.5,269.5,220.5,3.5,0.1,10.71
0.71,710.5,269.5,220.5,3.5,0.1,10.8
0.71,710.5,269.5,220.5,3.5,0.1,10.7
